,Name,Risk,Category,Rating,1 Year Return,3 Years Return,5 Years Return
0,Quant Small Cap Fund Direct Plan Growth,Very High Risk,Equity,5,12.91%,54.68%,24.09%
1,Bank of India Small Cap Fund Direct Growth,Very High Risk,Equity,4,7.96%,41.78%,NA%
2,ICICI Prudential Commodities Fund Direct Growth,High Risk,Equity,,21.60%,41.64%,NA%
3,Canara Robeco Small Cap Fund Direct Growth,Very High Risk,Equity,5,14.88%,41.38%,NA%
4,Quant Tax Plan Direct Growth,Very High Risk,Equity,5,17.25%,41.27%,24.48%
5,Quant Infrastructure Fund Direct Growth,Very High Risk,Equity,5,17.74%,41.00%,23.06%
6,PGIM India Midcap Opportunities Fund Direct Growth,Very High Risk,Equity,5,8.92%,39.43%,20.25%
7,Quant Flexi Cap Fund Direct Growth,Very High Risk,Equity,,14.30%,38.94%,20.01%
8,Quant Mid Cap Fund Direct Growth,Very High Risk,Equity,5,20.84%,38.46%,22.32%
9,ICICI Prudential Technology Direct Plan Growth,Very High Risk,Equity,,-11.54%,38.18%,27.52%
10,Nippon India Small Cap Fund Direct Growth,Very High Risk,Equity,4,16.57%,37.05%,17.58%
11,Quant Active Fund Direct Growth,Very High Risk,Equity,,14.53%,36.89%,23.34%
12,Edelweiss Small Cap Fund Direct Growth,Very High Risk,Equity,4,10.05%,36.04%,NA%
13,Aditya Birla Sun Life Digital India Fund Direct Growth,Very High Risk,Equity,,-9.68%,34.61%,26.83%
14,Tata Digital India Fund Direct Growth,Very High Risk,Equity,,-10.94%,34.60%,28.21%
15,Quant Small Cap Fund Direct Plan Growth,Very High Risk,Equity,5,12.91%,54.68%,24.09%
16,Bank of India Small Cap Fund Direct Growth,Very High Risk,Equity,4,7.96%,41.78%,NA%
17,ICICI Prudential Commodities Fund Direct Growth,High Risk,Equity,,21.60%,41.64%,NA%
18,Canara Robeco Small Cap Fund Direct Growth,Very High Risk,Equity,5,14.88%,41.38%,NA%
19,Quant Tax Plan Direct Growth,Very High Risk,Equity,5,17.25%,41.27%,24.48%
20,Quant Infrastructure Fund Direct Growth,Very High Risk,Equity,5,17.74%,41.00%,23.06%
21,PGIM India Midcap Opportunities Fund Direct Growth,Very High Risk,Equity,5,8.92%,39.43%,20.25%
22,Quant Flexi Cap Fund Direct Growth,Very High Risk,Equity,,14.30%,38.94%,20.01%
23,Quant Mid Cap Fund Direct Growth,Very High Risk,Equity,5,20.84%,38.46%,22.32%
24,ICICI Prudential Technology Direct Plan Growth,Very High Risk,Equity,,-11.54%,38.18%,27.52%
25,Nippon India Small Cap Fund Direct Growth,Very High Risk,Equity,4,16.57%,37.05%,17.58%
26,Quant Active Fund Direct Growth,Very High Risk,Equity,,14.53%,36.89%,23.34%
27,Edelweiss Small Cap Fund Direct Growth,Very High Risk,Equity,4,10.05%,36.04%,NA%
28,Aditya Birla Sun Life Digital India Fund Direct Growth,Very High Risk,Equity,,-9.68%,34.61%,26.83%
29,Tata Digital India Fund Direct Growth,Very High Risk,Equity,,-10.94%,34.60%,28.21%
30,Kotak Small Cap Fund Direct Growth,Very High Risk,Equity,4,2.13%,34.36%,17.67%
31,Tata Small Cap Fund Direct Growth,Very High Risk,Equity,3,14.51%,34.25%,NA%
32,SBI Technology Opportunities Fund Direct Growth,Very High Risk,Equity,,-4.61%,32.88%,26.75%
33,Quant Absolute Fund Direct Growth,Very High Risk,Hybrid,5,17.74%,32.06%,20.56%
34,DSP Small Cap Direct Plan Growth,Very High Risk,Equity,3,8.29%,32.03%,12.79%
35,SBI Contra Direct Plan Growth,Very High Risk,Equity,5,18.21%,31.83%,15.65%
36,ICICI Prudential Smallcap Fund Direct Plan Growth,Very High Risk,Equity,4,10.64%,31.81%,15.36%
37,Quant Multi Asset Fund Direct Growth,Very High Risk,Hybrid,5,18.01%,31.58%,21.50%
38,Union Small Cap Fund Direct Growth,Very High Risk,Equity,3,7.16%,31.24%,14.59%
39,SBI Small Cap Fund Direct Growth,Very High Risk,Equity,4,13.46%,31.03%,16.25%
40,Invesco India Smallcap Fund Direct Growth,Very High Risk,Equity,3,6.36%,30.32%,NA%
41,HSBC Small Cap Fund Direct Growth,Very High Risk,Equity,3,11.52%,30.24%,13.65%
42,IDBI Small Cap Fund Direct Growth,Very High Risk,Equity,3,11.62%,30.15%,14.17%
43,DSP Healthcare Fund Direct Growth,Very High Risk,Equity,,1.61%,30.10%,NA%
44,Axis Small Cap Fund Direct Growth,Very High Risk,Equity,5,9.97%,29.87%,20.07%
45,Sundaram Small Cap Fund Direct Growth,Very High Risk,Equity,2,5.21%,29.52%,9.86%
46,HSBC Small Cap Fund Direct Growth,Very High Risk,Equity,3,6.98%,29.44%,12.93%
47,SBI Magnum Mid Cap Direct Plan Growth,Very High Risk,Equity,4,8.67%,29.36%,13.67%
48,HDFC Small Cap Fund Direct Growth,Very High Risk,Equity,3,12.02%,29.36%,14.41%
49,Bank of India Manufacturing & Infrastructure Direct Growth,Very High Risk,Equity,4,11.29%,29.28%,13.31%
50,Mirae Asset Healthcare Fund Direct Growth,Very High Risk,Equity,,-3.21%,28.73%,NA%
51,Edelweiss Mid Cap Direct Plan Growth,Very High Risk,Equity,4,10.37%,28.51%,15.45%
52,Mirae Asset Midcap Fund Direct Growth,Moderately High Risk,Equity,4,9.09%,28.06%,NA%
53,Tata Resources & Energy Fund Direct Growth,Very High Risk,Equity,,7.54%,27.93%,15.81%
54,Quant Large and Mid Cap Fund Direct Growth,Very High Risk,Equity,5,15.98%,27.60%,15.90%
55,ICICI Prudential India Opportunities Fund Direct Growth,Very High Risk,Equity,,23.28%,27.53%,NA%
56,Motilal Oswal Midcap Fund Direct Growth,Very High Risk,Equity,4,19.87%,27.50%,16.21%
57,IDFC Sterling Value Fund Direct Plan Growth,Very High Risk,Equity,3,12.68%,27.49%,12.58%
58,ICICI Prudential Infrastructure Direct Growth,Very High Risk,Equity,4,29.44%,27.22%,13.94%
59,Motilal Oswal Nifty Smallcap 250 Index Fund Direct Growth,Moderately High Risk,Other,2,3.30%,26.87%,NA%
60,UTI Mid Cap Fund Direct Growth,Very High Risk,Equity,3,5.54%,26.81%,12.84%
61,Nippon India Growth Fund Direct Growth,Very High Risk,Equity,4,12.12%,26.79%,15.39%
62,Kotak Emerging Equity Fund Direct Growth,Very High Risk,Equity,4,10.20%,26.78%,15.76%
63,Franklin India Smaller Companies Direct Fund Growth,Very High Risk,Equity,2,9.22%,26.77%,10.99%
64,PGIM India Flexi Cap Fund Direct Growth,Very High Risk,Equity,5,0.61%,26.69%,17.24%
65,ICICI Prudential Value Discovery Direct Growth,Very High Risk,Equity,4,18.77%,26.50%,15.69%
66,ICICI Prudential Thematic Advantage Fund (FOF)Direct Growth,Very High Risk,Other,,10.70%,26.36%,15.85%
67,HDFC Mid Cap Opportunities Direct Plan Growth,Very High Risk,Equity,3,16.79%,26.32%,13.87%
68,Bank of India Mid & Small Cap Equity & Debt Fund Direct Growth,Very High Risk,Hybrid,4,2.05%,26.22%,11.75%
69,Invesco India Infrastructure Fund Direct Growth,Very High Risk,Equity,5,8.88%,26.15%,14.72%
70,Kotak Infrastructure and Economic Reform Fund Direct Growth,Very High Risk,Equity,4,19.17%,26.06%,12.43%
71,Baroda BNP Paribas Midcap Direct Growth,Very High Risk,Equity,3,8.39%,25.98%,12.79%
72,Parag Parikh Tax Saver Fund Direct Growth,Moderately High Risk,Equity,5,11.72%,25.87%,NA%
73,Motilal Oswal Nifty Midcap 150 Index Fund Direct Growth,Moderately High Risk,Other,3,7.99%,25.84%,NA%
74,DSP World Mining Fund Direct Plan Growth,Very High Risk,Other,,22.39%,25.75%,17.42%
75,Nippon India Consumption Fund Direct Growth,Very High Risk,Equity,5,19.66%,25.73%,15.57%
76,SBI Healthcare Opportunities Fund Direct Plan Growth,Very High Risk,Equity,,3.48%,25.71%,13.82%
77,ICICI Prudential MNC Fund Direct Growth,High Risk,Equity,,9.08%,25.68%,NA%
78,Mahindra Manulife Multi Cap Badhat Yojana Direct Growth,Very High Risk,Equity,5,7.67%,25.66%,16.76%
79,Nippon India Pharma Fund Direct Growth,Very High Risk,Equity,,-2.24%,25.62%,17.61%
80,Bank of India Tax Advantage Direct Growth,Very High Risk,Equity,4,4.53%,25.61%,14.98%
81,Templeton India Value Fund Direct Plan Growth,Very High Risk,Equity,3,18.05%,25.60%,12.61%
82,HSBC Small Cap Equity Fund Direct Growth,Very High Risk,Equity,2,-8.76%,25.58%,7.62%
83,ICICI Prudential Pharma Healthcare And Diagnostics (P.H.D) Fund Direct Growth,Very High Risk,Equity,,-0.10%,25.55%,NA%
84,Mahindra Manulife Mid Cap Unnati Yojana Direct Growth,Very High Risk,Equity,3,8.19%,25.54%,NA%
85,ICICI Prudential Dividend Yield Equity Fund Direct Growth,Very High Risk,Equity,,16.58%,25.49%,12.13%
86,Tata Infrastructure Direct Plan Growth,Very High Risk,Equity,4,16.83%,25.47%,12.67%
87,Principal Global Opportunities Fund Direct Growth,Very High Risk,Other,1,27.05%,25.29%,17.49%
88,Templeton India Equity Income Direct Plan Growth,Very High Risk,Equity,,9.38%,25.23%,14.45%
89,IDFC Tax Advantage (ELSS) Direct Plan Growth,Very High Risk,Equity,4,11.02%,25.18%,14.34%
90,Invesco India Mid Cap Fund Direct Growth,Very High Risk,Equity,4,6.86%,25.14%,15.51%
91,Canara Robeco Infrastructure Direct Growth,Very High Risk,Equity,3,15.67%,25.05%,11.26%
92,HDFC Retirement Savings Fund Equity Plan Direct Growth,Very High Risk,Solution Oriented,5,12.29%,24.77%,15.30%
93,Tata India Pharma & HealthCare Fund Direct Growth,Very High Risk,Equity,,0.29%,24.62%,16.75%
94,Nippon India Power & Infra Fund Direct Growth,Very High Risk,Equity,3,15.71%,24.51%,10.09%
95,Quant Focused Fund Direct Growth,Very High Risk,Equity,5,11.24%,24.48%,15.19%
96,Parag Parikh Flexi Cap Fund Direct Growth,Very High Risk,Equity,5,-1.09%,24.45%,17.68%
97,HSBC Infrastructure Equity Fund Direct Growth,Very High Risk,Equity,1,9.17%,24.41%,3.43%
98,SBI Magnum COMMA Fund Direct Growth,Very High Risk,Equity,,1.53%,24.38%,12.82%
99,ICICI Prudential Focused Equity Fund Direct Growth,Very High Risk,Equity,4,11.28%,24.10%,14.93%
100,Franklin India Technology Fund Direct Growth,Very High Risk,Equity,,-13.41%,23.97%,19.94%
101,IDFC Infrastructure Direct Plan Growth,Very High Risk,Equity,2,7.14%,23.90%,7.64%
102,Sundaram Services Fund Direct Growth,Very High Risk,Equity,,7.03%,23.63%,NA%
103,Baroda Midcap Direct Fund Growth,Very High Risk,Equity,4,27.49%,23.56%,16.94%
104,Tata Midcap Growth Direct Plan Growth,Very High Risk,Equity,3,5.77%,23.54%,13.58%
105,ICICI Prudential Manufacturing Fund Direct Growth,Very High Risk,Equity,,14.46%,23.43%,NA%
106,ICICI Prudential Midcap Direct Plan Growth,Very High Risk,Equity,3,8.57%,23.33%,12.55%
107,Canara Robeco Equity Tax Saver Direct Growth,Very High Risk,Equity,5,6.02%,23.29%,17.36%
108,Tata Ethical Direct Plan Growth,Very High Risk,Equity,,4.40%,23.21%,14.09%
